,t,OF,OF_Hb,IF_Hb,S_in,IF_Hb_Sb,H_in,IF_Sb,OF_Sb,IF,OF_Hb_Sb
53,0.053003533568904596,4.651123755686473e-09,4.672010889825824e-09,4.881298320868383e-09,0.000999973976684767,4.883223960270085e-08,1.0552107563107968e-07,4.62928806130835e-08,4.6490446817856684e-08,2.125e-08,2.125e-08
54,0.054003600240016006,4.6512494773134954e-09,4.672073710420414e-09,4.880882168850457e-09,0.0009999739971987538,4.88280269934997e-08,1.05504774253676e-07,4.629598974473374e-08,4.649177790520376e-08,2.125e-08,2.125e-08
55,0.055003666911127416,4.651388536575407e-09,4.6721506188171525e-09,4.880460861666546e-09,0.000999974017662001,4.8823762377324205e-08,1.0548857562246862e-07,4.629899809802117e-08,4.6493239507616884e-08,2.125e-08,2.125e-08
56,0.05600373358223882,4.6515340484795755e-09,4.672236227113913e-09,4.880038303388567e-09,0.0009999740380717192,4.881948541449999e-08,1.0547244286729769e-07,4.6301943742397384e-08,4.649476226414175e-08,2.125e-08,2.125e-08
57,0.05700380025335023,4.651677002650133e-09,4.672323613933639e-09,4.879619563765493e-09,0.0009999740584241688,4.881524759550404e-08,1.0545632823658019e-07,4.6304876948286495e-08,4.649625527588126e-08,2.125e-08,2.125e-08
58,0.05800386692446163,4.651842402887275e-09,4.672430364699718e-09,4.879190000735915e-09,0.0009999740787297988,4.881089953571165e-08,1.0544037066646953e-07,4.630766523898803e-08,4.6497972456998245e-08,2.125e-08,2.125e-08
59,0.059003933595573044,4.652025314543391e-09,4.672552382696563e-09,4.878752139612963e-09,0.0009999740989863825,4.880646668645056e-08,1.0542454693188936e-07,4.631033912382916e-08,4.649986435288793e-08,2.125e-08,2.125e-08
60,0.060004000266684454,4.652212791775402e-09,4.6726796733615595e-09,4.878312996592501e-09,0.0009999741191881921,4.880202018026016e-08,1.0540879162859409e-07,4.631297392257493e-08,4.6501800435455705e-08,2.125e-08,2.125e-08
61,0.06100406693779586,4.652398897166048e-09,4.672807143844403e-09,4.877875388204795e-09,0.0009999741393322712,4.8797588284344486e-08,1.0539307944544328e-07,4.6315608903707674e-08,4.650372138275261e-08,2.125e-08,2.125e-08
62,0.06200413360890727,4.652575806725109e-09,4.672928145132624e-09,4.877443040334036e-09,0.0009999741594146757,4.879320844195085e-08,1.0537737688320572e-07,4.631829560548765e-08,4.6505548960389535e-08,2.125e-08,2.125e-08
63,0.06300420028001867,4.652738805086014e-09,4.673038537527765e-09,4.877018051962782e-09,0.000999974179432875,4.878890181271953e-08,1.0536166531317e-07,4.6321066630075585e-08,4.650723616264797e-08,2.125e-08,2.125e-08
64,0.06400426695113008,4.65292990414177e-09,4.673172266772777e-09,4.876578764591178e-09,0.0009999741994067826,4.87844510130394e-08,1.0534614220535037e-07,4.6323663078108025e-08,4.650920497336626e-08,2.125e-08,2.125e-08
65,0.06500433362224149,4.653120629658751e-09,4.673305726547448e-09,4.876139224466156e-09,0.0009999742193222089,4.877999735206632e-08,1.0533068043994984e-07,4.6326267029552526e-08,4.651117003772795e-08,2.125e-08,2.125e-08
66,0.0660044002933529,4.653308532966119e-09,4.6734364870076214e-09,4.875700218458403e-09,0.0009999742391774067,4.8775549063386656e-08,1.053152735307695e-07,4.6328898447298424e-08,4.651310725090163e-08,2.125e-08,2.125e-08
67,0.0670044669644643,4.653490554485128e-09,4.6735615537963655e-09,4.87526278508758e-09,0.0009999742589702138,4.8771117019826005e-08,1.0529991276720835e-07,4.6331581638939765e-08,4.6514986447883685e-08,2.125e-08,2.125e-08
68,0.06800453363557571,4.653662918824342e-09,4.673677272639656e-09,4.874828265634611e-09,0.000999974278697994,4.876671526060743e-08,1.0528458674614964e-07,4.633434592165232e-08,4.651677036065977e-08,2.125e-08,2.125e-08
69,0.06900460030668712,4.653832783841346e-09,4.673790528122783e-09,4.874395854229601e-09,0.0009999742983680029,4.87623358341299e-08,1.0526929616393178e-07,4.63371154570825e-08,4.651852954261154e-08,2.125e-08,2.125e-08
70,0.07000466697779853,4.654008986835159e-09,4.6739098572654015e-09,4.873964595679625e-09,0.0009999743179892136,4.875796931700711e-08,1.0525404147028459e-07,4.63397961826598e-08,4.6520351060570094e-08,2.125e-08,2.125e-08
71,0.07100473364890994,4.654183321166335e-09,4.674027463950247e-09,4.873537398244467e-09,0.0009999743375557473,4.875364602570328e-08,1.052387982279928e-07,4.634245203298736e-08,4.652215375796496e-08,2.125e-08,2.125e-08
72,0.07200480032002134,4.654356069937643e-09,4.674143759186965e-09,4.8731156293371926e-09,0.0009999743570695506,4.874938051910031e-08,1.0522354993116073e-07,4.6345063854487234e-08,4.6523940167966674e-08,2.125e-08,2.125e-08
73,0.07300486699113275,4.654527646581759e-09,4.674259334095935e-09,4.872700923041314e-09,0.0009999743765330175,4.874519016313352e-08,1.0520827682033519e-07,4.634760790331999e-08,4.652571402984278e-08,2.125e-08,2.125e-08
74,0.07400493366224416,4.654698589672244e-09,4.674374960319075e-09,4.872295210005434e-09,0.0009999743959490169,4.874109544005433e-08,1.051929555438522e-07,4.635005557002608e-08,4.6527480229937276e-08,2.125e-08,2.125e-08
75,0.07500500033335557,4.6548688776484075e-09,4.67448969156289e-09,4.871886465041344e-09,0.0009999744153053952,4.873696525092895e-08,1.0517772935489402e-07,4.635254921001864e-08,4.652924050481355e-08,2.125e-08,2.125e-08
76,0.07600506700446698,4.655039307487536e-09,4.6746047278867675e-09,4.871477799096903e-09,0.000999974434606602,4.873283263767048e-08,1.0516256076126445e-07,4.635504352235105e-08,4.653100200552053e-08,2.125e-08,2.125e-08
77,0.07700513367557837,4.655210628411877e-09,4.674721011826223e-09,4.871069405349134e-09,0.0009999744538540596,4.872869882753778e-08,1.051474471137705e-07,4.6357528254133163e-08,4.6532771872754784e-08,2.125e-08,2.125e-08
78,0.07800520034668978,4.655383582356117e-09,4.674839356281133e-09,4.870659547917752e-09,0.0009999744730472334,4.8724543948526603e-08,1.0513240881892979e-07,4.6360016102591093e-08,4.653455746234026e-08,2.125e-08,2.125e-08
79,0.0790052670178012,4.655558969679038e-09,4.674960642888228e-09,4.870246080724636e-09,0.0009999744921852809,4.872034349847191e-08,1.051174712215463e-07,4.636252408023679e-08,4.653636672801273e-08,2.125e-08,2.125e-08
80,0.0800053336889126,4.6557368380252406e-09,4.675084836415393e-09,4.869829125053084e-09,0.0009999745112684707,4.871610052943645e-08,1.0510263100066436e-07,4.636504846353201e-08,4.653820020755189e-08,2.125e-08,2.125e-08
81,0.08100540036002402,4.655914644715509e-09,4.675208749137806e-09,4.869417208860042e-09,0.0009999745303014645,4.871191941607757e-08,1.0508777912022792e-07,4.636750711717676e-08,4.6540032864046784e-08,2.125e-08,2.125e-08
82,0.08200546703113541,4.656094073097979e-09,4.675334343850258e-09,4.869004220788214e-09,0.0009999745492809047,4.87077290383712e-08,1.0507299005774234e-07,4.636995686754239e-08,4.654188145636486e-08,2.125e-08,2.125e-08
83,0.08300553370224682,4.656274901641276e-09,4.675461269943962e-09,4.868590028532564e-09,0.000999974568206481,4.8703530478241796e-08,1.050582630415691e-07,4.637239937294099e-08,4.6543743948714684e-08,2.125e-08,2.125e-08
84,0.08400560037335823,4.656456719955433e-09,4.675588955329385e-09,4.8681746336085315e-09,0.0009999745870777675,4.8699326824733617e-08,1.0504359540863339e-07,4.637483639308025e-08,4.654561647330824e-08,2.125e-08,2.125e-08
85,0.08500566704446964,4.656638905380887e-09,4.675716580110513e-09,4.867758192317691e-09,0.0009999746058942135,4.8695123446321264e-08,1.0502898234085397e-07,4.637726977409151e-08,4.65474931017935e-08,2.125e-08,2.125e-08
86,0.08600573371558105,4.656822523688919e-09,4.675845719243873e-09,4.867341165862057e-09,0.000999974624657774,4.86909129363983e-08,1.05014429290608e-07,4.637969390004374e-08,4.6549383754778375e-08,2.125e-08,2.125e-08
87,0.08700580038669245,4.6570077112567245e-09,4.675976717434105e-09,4.866924167169615e-09,0.0009999746433693414,4.868669605181276e-08,1.0499993460764812e-07,4.638210583593474e-08,4.655128951640737e-08,2.125e-08,2.125e-08
88,0.08800586705780386,4.657193089024302e-09,4.676107882366685e-09,4.866507944095448e-09,0.000999974662027969,4.8682486466914843e-08,1.0498548556511407e-07,4.638450751560421e-08,4.655319710200978e-08,2.125e-08,2.125e-08
